question,type,value,notes
1,int,24801002666,
2,dict,"{'54.152.17.ccg': 12562,
 '183.195.251.hah': 6524,
 '52.45.218.ihf': 5562,
 '68.180.231.abf': 5493,
 '204.212.175.bch': 4708,
 '103.238.106.gif': 4428,
 '208.77.215.jeh': 3903,
 '208.77.214.jeh': 3806,
 '217.174.255.dgd': 3551,
 '82.13.163.caf': 3527}",
3,float,0.03466852724527611,
4,str,'1627631/0001627631-15-000004/.txt',
5,int,971,
6,str,'United States of America',
7,dict,"{'United States of America': 0.019862490450725745,
 'China': 0.006864988558352402,
 'India': 0.058823529411764705,
 'United Kingdom of Great Britain and Northern Ireland': 0.06666666666666667,
 'Korea (Republic of)': 0.2,
 'Canada': 0.017857142857142856,
 'France': 0.0036900369003690036,
 'Bulgaria': 0.3333333333333333,
 'Ireland': 0.3125,
 'Australia': 0.07692307692307693,
 'Hong Kong': 0.0,
 'Germany': 0.0,
 'Czechia': 0.0,
 'Estonia': 0.0,
 'Viet Nam': 0.0,
 'Poland': 0.0,
 'Netherlands': 0.0,
 '-': 0.0,
 'Slovakia': 0.0,
 'Russian Federation': 0.0,
 'Spain': 0.0,
 'Indonesia': 0.0,
 'Ukraine': 0.0,
 'Croatia': 0.0,
 'Italy': 0.0,
 'Taiwan (Province of China)': 0.0,
 'Virgin Islands (British)': 0.0,
 'Liberia': 0.0,
 'Singapore': 0.0,
 'Denmark': 0.0,
 'Romania': 0.0,
 'Luxembourg': 0.0,
 'Switzerland': 0.0,
 'Israel': 0.0,
 'Philippines': 0.0,
 'Egypt': 0.0,
 'Brazil': 0.0,
 'Honduras': 0.0,
 'Greece': 0.0,
 'Sweden': 0.0,
 'Japan': 0.0,
 'Cyprus': 0.0,
 'Latvia': 0.0,
 'Thailand': 0.0,
 'South Africa': 0.0,
 'Malaysia': 0.0,
 'Jersey': 0.0,
 'Lebanon': 0.0,
 'Syrian Arab Republic': 0.0,
 'Mongolia': 0.0,
 'Angola': 0.0,
 'Saudi Arabia': 0.0,
 'Mexico': 0.0,
 'Iraq': 0.0,
 'Hungary': 0.0,
 'Jordan': 0.0,
 'Turkey': 0.0,
 'Pakistan': 0.0,
 'Austria': 0.0,
 'Portugal': 0.0,
 'Venezuela (Bolivarian Republic of)': 0.0,
 'Nigeria': 0.0,
 'Algeria': 0.0,
 'Armenia': 0.0,
 'Bangladesh': 0.0,
 'Sudan': 0.0,
 'Yemen': 0.0,
 'Tanzania, United Republic of': 0.0,
 'Morocco': 0.0,
 'North Macedonia': 0.0,
 'Finland': 0.0,
 'Slovenia': 0.0}",
8,list,"['2007-07-25', '2007-07-25', '2007-07-23']",
9,dict,"{'OX': 6,
 'NJ': 23,
 'MS': 1,
 'MA': 30,
 'CA': 91,
 'CO': 25,
 'NY': 83,
 'TX': 64,
 'FL': 21,
 'AL': 1,
 'IN': 4,
 'CT': 14,
 'UT': 5,
 'MD': 13,
 'KS': 5,
 'VA': 15,
 'OH': 10,
 'SD': 1,
 'DE': 10,
 'IL': 25,
 'GA': 8,
 'NC': 9,
 'PA': 25,
 'TN': 4,
 'MN': 15,
 'NM': 1,
 'KY': 2,
 'OK': 7,
 'AR': 1,
 'NV': 6,
 'VT': 1,
 'MO': 4,
 'MI': 11,
 'NE': 2,
 'IA': 6,
 'AZ': 5,
 'WI': 9,
 'LA': 2,
 'ID': 1,
 'OR': 2,
 'WV': 2,
 'WA': 3,
 'DC': 1,
 'ME': 1}",
10,dict,"{2834: 40,
 6022: 20,
 1311: 20,
 6189: 17,
 6211: 17,
 8731: 2,
 1389: 19,
 7370: 7,
 3571: 1,
 7361: 1,
 3674: 5,
 4931: 5,
 1040: 2,
 2810: 2,
 7389: 11,
 3140: 1,
 7374: 4,
 6200: 1,
 7381: 1,
 3620: 3,
 3841: 6,
 4941: 1,
 5621: 1,
 7330: 1,
 6199: 8,
 6798: 20,
 2510: 4,
 3990: 2,
 1700: 5,
 7371: 6,
 5940: 2,
 4522: 5,
 1731: 2,
 6311: 2,
 8082: 2,
 2836: 13,
 6021: 20,
 1000: 11,
 4911: 8,
 6324: 2,
 8051: 1,
 6035: 4,
 3550: 1,
 4813: 4,
 6321: 2,
 2890: 1,
 3845: 2,
 2860: 8,
 1221: 2,
 3669: 2,
 6411: 1,
 5900: 2,
 2320: 1,
 6221: 3,
 6331: 10,
 2070: 1,
 8742: 5,
 3829: 3,
 900: 5,
 5500: 2,
 7372: 11,
 6770: 1,
 4841: 2,
 4833: 1,
 7384: 1,
 6799: 3,
 3826: 5,
 8711: 2,
 5160: 1,
 5944: 1,
 3420: 3,
 3510: 3,
 5960: 1,
 3842: 4,
 8062: 3,
 6029: 11,
 7320: 1,
 5172: 2,
 1382: 2,
 3663: 4,
 1400: 3,
 7822: 1,
 2024: 1,
 2080: 1,
 7812: 2,
 4922: 2,
 2030: 1,
 3576: 3,
 2711: 1,
 3578: 1,
 3679: 2,
 2842: 1,
 4899: 1,
 100: 1,
 3541: 1,
 7311: 1,
 3317: 1,
 2033: 1,
 3721: 1,
 3621: 2,
 3730: 1,
 5122: 2,
 3585: 1,
 3944: 1,
 5812: 4,
 3661: 2,
 3577: 2,
 3711: 1,
 2800: 3,
 3490: 1,
 4924: 1,
 3537: 1,
 8093: 1,
 6141: 2,
 4412: 1,
 3272: 2,
 2911: 1,
 7200: 3,
 3695: 2,
 6282: 8,
 6513: 1,
 6099: 1,
 7373: 3,
 3559: 2,
 7350: 1,
 3690: 2,
 3714: 1,
 7363: 1,
 2111: 2,
 3825: 2,
 8200: 1,
 5990: 1,
 3630: 1,
 1531: 2,
 1381: 1,
 5961: 1,
 2870: 2,
 5030: 1,
 5731: 1,
 2780: 1,
 2820: 1,
 2670: 1,
 3312: 1,
 3590: 1,
 4812: 2,
 5065: 2,
 6036: 1,
 7900: 2,
 5661: 2,
 2790: 1,
 7340: 1,
 5651: 1,
 3442: 1,
 6500: 1,
 4512: 2,
 7841: 1,
 8090: 1,
 4955: 1,
 5311: 1,
 2750: 1,
 7830: 2,
 4213: 1,
 3672: 1,
 5531: 1,
 2430: 1,
 6111: 1,
 5945: 1,
 3678: 1,
 6792: 1,
 3827: 1,
 3443: 1,
 7990: 1,
 2273: 1,
 1623: 1}",
